Variable,Description
{{ execution_date }},the execution_date (pendulum.Pendulum)
{{ prev_execution_date }},the previous execution date (if available) (pendulum.Pendulum)
{{ prev_execution_date_success }},execution date from prior succesful dag run (if available) (pendulum.Pendulum)
{{ prev_start_date_success }},start date from prior successful dag run (if available) (pendulum.Pendulum)
{{ next_execution_date }},the next execution date (pendulum.Pendulum)
{{ dag }},the DAG object
{{ macros }},a reference to the macros package, described below
{{ task_instance }},the task_instance object
{{ conf }},the full configuration object located at airflow.configuration.conf which represents the content of your airflow.cfg
{{ run_id }},the run_id of the current DAG run
{{ dag_run }},a reference to the DagRun object
